advertisement	|product|magazine|commercial|mail
air	|space|water|ground|sky|stuff|gas|earth|fire
airplanes	|airplane
alcohol	|wine|drink|beer
anger	|anguish|anxiety|pain|frustration
arkansas	
audience	|crowd|show|auditorium|stage|concert|theater|movie
auditorium	|audience|theater|concert|stage|chairs|college|arena|stadium
automobile	|car|driveway|freeway
ball	|play|game
bar	|club|restaurant|beer|wine|party|table
bbq	|backyard
beautiful	|beauty|bad
beaver	
bed	|bedroom|room|couch|floor|sleep|house|table|chair
bee	|outside|fly
beer	|drinking|alcohol|can|liquid|bottle|wine|bar
bicycle	
bird	|nest|sky|airplane|fly|wings|plane|chicken|fish
birds	|bird
blanket	|bed
blood	|injury|body|water|heart|bone
boat	|sea|ocean|ship|bay|river|car|lake
bone	|mouth|skin|body|arm|blood
book	|library|dictionary|paper|magazine|article|newspaper|table|bed
books	|book|shelf
bowl	|food|container|plate|plates|glass|cabinet
box	|paper|case|ball
boxes	|basement|cellar
bread	|food|product
bubblegum	|sweetness
building	|city|skyscraper|house
bungalow	|cottage|suburbs|house
bus	|road|car|street
candy	|movie
carpet	|floor|rug|bathroom
carrots	|salad
cat	|mouse|dog|table|floor
ceiling	|roof
celebrating	|party|joy|happiness|drinking|kissing
chair	|room|table|couch|floor|desk|bench|wood
chairs	|meeting
change	|wallet|money|exchange|body|motion|cooking|communication|competition
channel	
cheese	|food|pizza|refrigerator
chicken	|food|soup|plate|bird|cow|nest|farm
chocolate	|food|candy|sugar
churchyard	|village
city	|state|village|country|town|farm
climbing	|strength|exercise|exercising
clock	|shelf|time|table|desk
closet	|room|cabinet|house|toilet
clothes	|stuff|clothing|closet|dresser
clothing	|clothes|shoes
colorado	|texas|california|town
communicating	|talking|talk|understanding|learning|knowledge
competing	|competition|defeat
computer	|communication|table|act
condiments	|container
confusion	|understanding
connection	|wires
container	|cupboard|pantry|cabinet
contemplating	|thinking|mind|understanding|reflection|intelligence
continent	|country|place|region|earth|ocean|island|sea
cottage	|house|village
country	|continent|region|place|state|city|town|rock
court	|park|place|field|office
cow	|farm|ranch|barn|horse
creek	|stream
cup	|glass|cabinet|dishwasher|plates
dancing	|motion|dance|performing|entertainment
darkness	
death	|sadness|morgue|die|funeral
dictionary	|books|library|book|encyclopedia
dirt	|ground|dust|floor|carpet|rug
dishes	|pantry
dog	|horse|human|fox|cat|home|table
door	|wall|room|home|window|house|gate|office
doorway	|door|gate
drink	|water|food|can|liquid|bar|beer|glass
driveway	|suburb
drugs	
dust	|dirt|floor|rug|carpet
earth	|heaven|world|home|sky|ground|sun|sea|space
electricity	|energy|current|shock
elevator	
employees	|meeting
entertaining	|fun|laughter|boredom|happiness|laugh
excavation	
